timestamp	pid	process_name	cpu_percent	memory_gb	gpu_memory_mb	gpu_utilization	gpu_name
2026-04-29 10:31:11	37886	python3.13	0.10	0.378	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:16	37886	python3.13	0.10	0.382	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:22	37886	python3.13	0.80	0.405	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:27	37886	python3.13	1.20	0.413	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:32	37886	python3.13	0.90	0.416	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:38	37886	python3.13	0.10	0.419	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:43	37886	python3.13	0.50	0.242	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:48	37886	python3.13	0.00	0.228	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:54	37886	python3.13	6.50	0.160	0.00	0.0	Apple Silicon GPU
2026-04-29 10:31:59	37886	python3.13	0.20	0.304	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:04	37886	python3.13	24.40	0.319	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:10	37886	python3.13	1.50	0.334	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:15	37886	python3.13	0.40	0.341	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:20	37886	python3.13	1.00	0.360	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:26	37886	python3.13	1.10	0.366	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:31	37886	python3.13	0.20	0.373	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:36	37886	python3.13	4.70	0.263	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:42	37886	python3.13	1.40	0.352	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:47	37886	python3.13	1.00	0.363	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:52	37886	python3.13	78.20	0.215	0.00	0.0	Apple Silicon GPU
2026-04-29 10:32:58	37886	python3.13	0.20	0.129	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:03	37886	python3.13	1.20	0.165	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:08	37886	python3.13	2.00	0.319	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:14	37886	python3.13	46.60	0.339	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:19	37886	python3.13	0.40	0.345	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:24	37886	python3.13	1.30	0.358	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:30	37886	python3.13	3.90	0.353	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:35	37886	python3.13	0.10	0.365	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:40	37886	python3.13	105.60	0.372	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:46	37886	python3.13	0.20	0.138	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:51	37886	python3.13	15.70	0.148	0.00	0.0	Apple Silicon GPU
2026-04-29 10:33:56	37886	python3.13	0.10	0.115	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:02	37886	python3.13	19.50	0.279	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:07	37886	python3.13	0.10	0.279	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:12	37886	python3.13	4.20	0.291	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:18	37886	python3.13	25.50	0.306	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:23	37886	python3.13	100.30	0.264	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:29	37886	python3.13	97.10	0.320	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:34	37886	python3.13	18.40	0.119	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:39	37886	python3.13	1.10	0.076	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:45	37886	python3.13	4.30	0.296	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:50	37886	python3.13	20.80	0.321	0.00	0.0	Apple Silicon GPU
2026-04-29 10:34:55	37886	python3.13	2.10	0.325	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:01	37886	python3.13	16.00	0.334	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:06	37886	python3.13	16.60	0.324	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:11	37886	python3.13	0.30	0.327	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:17	37886	python3.13	92.80	0.094	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:22	37886	python3.13	0.00	0.093	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:27	37886	python3.13	0.00	0.092	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:33	37886	python3.13	18.40	0.269	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:38	37886	python3.13	1.60	0.306	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:43	37886	python3.13	17.50	0.324	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:49	37886	python3.13	1.50	0.338	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:54	37886	python3.13	0.20	0.351	0.00	0.0	Apple Silicon GPU
2026-04-29 10:35:59	37886	python3.13	1.10	0.361	0.00	0.0	Apple Silicon GPU
2026-04-29 10:36:05	37886	python3.13	0.50	0.370	0.00	0.0	Apple Silicon GPU
2026-04-29 10:36:10	37886	python3.13	26.40	0.383	0.00	0.0	Apple Silicon GPU
